file,family,rev_label,status,batch,batch_date,batch_label,note
W2_T1_1_JS_MTL_GUIDE_v15.docx,mtl_guide,v15,SUPERSEDED,B13,2026-03-08,8th march,
W2_T1_1_JS_GUIDE_v14.docx,mtl_guide,v14,SUPERSEDED,B15,2026-03-05,5th march (value chain v7 = 6th),
W2_T1_1_JS_GUIDE_v12.docx,mtl_guide,v12,SUPERSEDED,B16,2026-03-03,3rd march (audit = 4th),
W2_T1_1_JS_GUIDE_v12.docx,mtl_guide,v12,DUPLICATE,B25,2026-03-01,early march and before,same file uploaded again
W2_T1_1_JS_GUIDE_v12__1_.docx,mtl_guide,v12,DUPLICATE,B25,2026-03-01,early march and before,same file uploaded again
W2_T1_1_JS_GUIDE_v11.docx,mtl_guide,v11,SUPERSEDED,B17,2026-03-01,1st march,
selenite_timeline_guide_v11.docx,mtl_guide,v11,SUPERSEDED,B25,2026-03-01,early march and before,
selenite_timeline_guide_v4.docx,mtl_guide,v4,SUPERSEDED,B18,2026-02-28,28th feb,
selenite_timeline_guide.docx,mtl_guide,-,SUPERSEDED,B25,2026-03-01,early march and before,
pitch_madma.html,pitch_madma,-,OUT_OF_SCOPE,B19,2026-02-22,20-23 feb (concept/pitch),course/pitch/legal context
pitch_madma-JS-laptop.html,pitch_madma-js-laptop,-,OUT_OF_SCOPE,B19,2026-02-22,20-23 feb (concept/pitch),course/pitch/legal context
pitch_selection_louis_reard_group-2.pdf,pitch_selection_louis_reard_group,-,OUT_OF_SCOPE,B25,2026-03-01,early march and before,course/pitch/legal context
pitch_selection_louis_reard_group.docx,pitch_selection_louis_reard_group,-,OUT_OF_SCOPE,B19,2026-02-22,20-23 feb (concept/pitch),course/pitch/legal context
pitch_selection_louis_reard_group.pdf,pitch_selection_louis_reard_group,-,OUT_OF_SCOPE,B19,2026-02-22,20-23 feb (concept/pitch),course/pitch/legal context
power_budget.jpg,power_budget,-,FIGURE,B16,2026-03-03,3rd march (audit = 4th),"rendered output, not a source"
W6_T5_7_JS_PROBE_Concept_Brief.docx,probe_concept_brief,-,AUTHORITATIVE,B23,2026-04-01,late march / early april,family winner
probe_ops_3d_render_v1.html,probe_ops_3d_render,v1,AUTHORITATIVE,B21,2026-04-20,"downloads, mid-late april",family winner
probe_ops_3d_render_v1.html,probe_ops_3d_render,v1,DUPLICATE,B23,2026-04-01,late march / early april,same file uploaded again
probe_ops_3d_render_v1__1_.html,probe_ops_3d_render,v1,DUPLICATE,B21,2026-04-20,"downloads, mid-late april",same file uploaded again
probe_propellant_vs_deltaV.jpg,probe_propellant_vs_deltav,-,FIGURE,B16,2026-03-03,3rd march (audit = 4th),"rendered output, not a source"
propellant_balance_by_phase.jpg,propellant_balance_by_phase,-,FIGURE,B16,2026-03-03,3rd march (audit = 4th),"rendered output, not a source"
sabatier.m,sabatier,-,AUTHORITATIVE,B04,2026-03-11,11th march batch 3,family winner
sabatier.m,sabatier,-,DUPLICATE,B12,2026-03-09,main folder (9th march unless noted),same file uploaded again
W5_T4_4_JS_scaling_P7_P12.html,scaling_p7_p12,-,DUPLICATE,B09,2026-03-23,w5 folder,same file uploaded again
W5_T4_4_JS_scaling_P7_P12.html,scaling_p7_p12,-,AUTHORITATIVE,B21,2026-04-20,"downloads, mid-late april",family winner
W5_T4_4_JS_scaling_P7_P12.html,scaling_p7_p12,-,DUPLICATE,B23,2026-04-01,late march / early april,same file uploaded again
W5_T4_4_JS_scaling_P7_P12.html,scaling_p7_p12,-,DUPLICATE,B26,2026-03-23,construction phasing subdir (dup),same file uploaded again
W5_T4_4_JS_scaling_P7_P14.html,scaling_p7_p14,-,AUTHORITATIVE,B01,2026-04-12,april 12th folder,family winner
SEL-CAD-AC-001_RevA.docx,sel-cad-ac-001,Rev A,AUTHORITATIVE,B03,2026-03-11,11th march batch 2,family winner
SEL-CAD-AD-001_RevA.docx,sel-cad-ad-001,Rev A,AUTHORITATIVE,B03,2026-03-11,11th march batch 2,family winner
SEL-CAD-DT-001_RevA.docx,sel-cad-dt-001,Rev A,AUTHORITATIVE,B03,2026-03-11,11th march batch 2,family winner
SEL-CAD-ELZ-001_RevA.docx,sel-cad-elz-001,Rev A,AUTHORITATIVE,B03,2026-03-11,11th march batch 2,family winner
SEL-CAD-HAB-001_RevA.docx,sel-cad-hab-001,Rev A,AUTHORITATIVE,B03,2026-03-11,11th march batch 2,family winner
SEL-CAD-HV-001_RevA.docx,sel-cad-hv-001,Rev A,AUTHORITATIVE,B03,2026-03-11,11th march batch 2,family winner
updated_SEL-CAD-ISRU-001_RevA.docx,sel-cad-isru-001,Rev A+,AUTHORITATIVE,B06,2026-03-11,11th march / ecn-015-016-017 fab-haul-cata,family winner
SEL-CAD-ISRU-001_RevA.docx,sel-cad-isru-001,Rev A,SUPERSEDED,B03,2026-03-11,11th march batch 2,
SEL-CAD-ISRU-001_RevA.docx,sel-cad-isru-001,Rev A,DUPLICATE,B05,2026-03-11,11th march / pre-ecn014,same file uploaded again
updated_SEL-CAD-IZ-001_RevA.docx,sel-cad-iz-001,Rev A+,AUTHORITATIVE,B06,2026-03-11,11th march / ecn-015-016-017 fab-haul-cata,family winner
SEL-CAD-IZ-001_RevA.docx,sel-cad-iz-001,Rev A,SUPERSEDED,B03,2026-03-11,11th march batch 2,
SEL-CAD-IZ-001_RevA.docx,sel-cad-iz-001,Rev A,DUPLICATE,B05,2026-03-11,11th march / pre-ecn014,same file uploaded again
SEL-CAD-MS-001_RevA.docx,sel-cad-ms-001,Rev A,AUTHORITATIVE,B03,2026-03-11,11th march batch 2,family winner
SEL-CAD-PB-001_RevA.docx,sel-cad-pb-001,Rev A,AUTHORITATIVE,B02,2026-03-11,11th march batch 1,family winner
SEL-CAD-PS-001_RevA.docx,sel-cad-ps-001,Rev A,AUTHORITATIVE,B02,2026-03-11,11th march batch 1,family winner
SEL-CAD-PZ-001_RevA.docx,sel-cad-pz-001,Rev A,AUTHORITATIVE,B02,2026-03-11,11th march batch 1,family winner
SEL-CAD-SE-001_RevA.docx,sel-cad-se-001,Rev A,AUTHORITATIVE,B02,2026-03-11,11th march batch 1,family winner
SEL-CAD-SK-001_RevA.docx,sel-cad-sk-001,Rev A,AUTHORITATIVE,B02,2026-03-11,11th march batch 1,family winner
SEL-CAD-SN-001_RevA.docx,sel-cad-sn-001,Rev A,AUTHORITATIVE,B02,2026-03-11,11th march batch 1,family winner
SEL-CAP-001_RevA_updated.docx,sel-cap-001,Rev A+,AUTHORITATIVE,B01,2026-04-12,april 12th folder,family winner
SEL-CAP-001_CraterAccessPod_RevA.docx,sel-cap-001,Rev A,SUPERSEDED,B10,2026-03-10,10th march,
SEL-CATAPULT-001_RevB.docx,sel-catapult-001,Rev B,AUTHORITATIVE,B01,2026-04-12,april 12th folder,family winner
SEL-CATAPULT-001_RevB.docx,sel-catapult-001,Rev B,DUPLICATE,B22,2026-04-05,"downloads, early april",same file uploaded again
SEL-CATAPULT-001_RevA.docx,sel-catapult-001,Rev A,SUPERSEDED,B06,2026-03-11,11th march / ecn-015-016-017 fab-haul-cata,
SEL-CON-001_RevB_updated.docx,sel-con-001,Rev B+,AUTHORITATIVE,B01,2026-04-12,april 12th folder,family winner
SEL-CON-001_PSR_Construction_Logistics_RevB.docx,sel-con-001,Rev B,SUPERSEDED,B10,2026-03-10,10th march,
SEL-CONVEYOR-001_RevA.docx,sel-conveyor-001,Rev A,AUTHORITATIVE,B01,2026-04-12,april 12th folder,family winner
SEL-ECLSS-001_RevB.docx,sel-eclss-001,Rev B,AUTHORITATIVE,B01,2026-04-12,april 12th folder,family winner
SEL-ECLSS-001_RevA.docx,sel-eclss-001,Rev A,SUPERSEDED,B11,2026-03-09,9th march,
SEL-ECLSS-002_RevB.docx,sel-eclss-002,Rev B,AUTHORITATIVE,B01,2026-04-12,april 12th folder,family winner
updated_SEL-ECLSS-002_RevA.docx,sel-eclss-002,Rev A+,SUPERSEDED,B06,2026-03-11,11th march / ecn-015-016-017 fab-haul-cata,
SEL-ECLSS-002_RevA.docx,sel-eclss-002,Rev A,SUPERSEDED,B02,2026-03-11,11th march batch 1,
SEL-ECLSS-002_RevA.docx,sel-eclss-002,Rev A,DUPLICATE,B10,2026-03-10,10th march,same file uploaded again
SEL-ECLSS-SCALING-001_RevB.docx,sel-eclss-scaling-001,Rev B,AUTHORITATIVE,B01,2026-04-12,april 12th folder,family winner
updated_SEL-ECLSS-SCALING-001_RevA.docx,sel-eclss-scaling-001,Rev A+,SUPERSEDED,B06,2026-03-11,11th march / ecn-015-016-017 fab-haul-cata,
SEL-ECLSS-SCALING-001_RevA.docx,sel-eclss-scaling-001,Rev A,SUPERSEDED,B02,2026-03-11,11th march batch 1,
SEL-ECN-012_DrainPipeReroute_v1.docx,sel-ecn-012,v1,DUPLICATE,B10,2026-03-10,10th march,same file uploaded again
SEL-ECN-012_DrainPipeReroute_v1.docx,sel-ecn-012,v1,AUTHORITATIVE,B24,2026-03-15,march (day unknown),family winner
SEL-ECN-013_Navigation_ARMfix_RFconstruction_v1.docx,sel-ecn-013,v1,AUTHORITATIVE,B10,2026-03-10,10th march,family winner
SEL-ECN-020_MassDriver_ParallelTracks.md,sel-ecn-020,-,AUTHORITATIVE,B01,2026-04-12,april 12th folder,family winner
SEL-ECON-001_RevA_revised.docx,sel-econ-001,Rev A+,AUTHORITATIVE,B01,2026-04-12,april 12th folder,family winner
SEL-ECON-001_RevA_revised.docx,sel-econ-001,Rev A+,DUPLICATE,B22,2026-04-05,"downloads, early april",same file uploaded again
SEL-ECON-001_RevA.docx,sel-econ-001,Rev A,SUPERSEDED,B08,2026-04-04,4th april batch 2,
SEL-ECON-001_Economic_Evaluation_Report.md,sel-econ-001-report,-,DUPLICATE,B23,2026-04-01,late march / early april,same file uploaded again
SEL-ECON-001_Economic_Evaluation_Report__1_.md,sel-econ-001-report,-,AUTHORITATIVE,B22,2026-04-05,"downloads, early april",family winner
updated_SEL-ELZ-001_RevA.docx,sel-elz-001,Rev A+,AUTHORITATIVE,B06,2026-03-11,11th march / ecn-015-016-017 fab-haul-cata,family winner
SEL-ELZ-001_RevA.docx,sel-elz-001,Rev A,SUPERSEDED,B02,2026-03-11,11th march batch 1,
SEL-FAB-001_RevA.docx,sel-fab-001,Rev A,AUTHORITATIVE,B01,2026-04-12,april 12th folder,family winner
SEL-FP-HAB-001_RevB.html,sel-fp-hab-001,Rev B,AUTHORITATIVE,B24,2026-03-15,march (day unknown),family winner
updated_SEL-HAB-001_RevD.docx,sel-hab-001,Rev D+,AUTHORITATIVE,B06,2026-03-11,11th march / ecn-015-016-017 fab-haul-cata,family winner
SEL-HAB-001_RevD.docx,sel-hab-001,Rev D,SUPERSEDED,B02,2026-03-11,11th march batch 1,
SEL-HAB-001_RevD.docx,sel-hab-001,Rev D,DUPLICATE,B05,2026-03-11,11th march / pre-ecn014,same file uploaded again
SEL-HAB-001_RevD.docx,sel-hab-001,Rev D,DUPLICATE,B10,2026-03-10,10th march,same file uploaded again
SEL-HAB-001_RevB.docx,sel-hab-001,Rev B,SUPERSEDED,B12,2026-03-09,main folder (9th march unless noted),
SEL-HAB-001_RevA.docx,sel-hab-001,Rev A,SUPERSEDED,B24,2026-03-15,march (day unknown),
SEL-HAB-WALL-XSECTION-001_1.html,sel-hab-wall-xsection-001,-,AUTHORITATIVE,B24,2026-03-15,march (day unknown),family winner
SEL-HAULER-001_RevB.docx,sel-hauler-001,Rev B,AUTHORITATIVE,B01,2026-04-12,april 12th folder,family winner
SEL-HAULER-001_RevA.docx,sel-hauler-001,Rev A,SUPERSEDED,B06,2026-03-11,11th march / ecn-015-016-017 fab-haul-cata,
SEL-ISRU-001_RevD_updated.docx,sel-isru-001,Rev D+,AUTHORITATIVE,B01,2026-04-12,april 12th folder,family winner
updated_SEL-ISRU-001_RevD.docx,sel-isru-001,Rev D+,AUTHORITATIVE,B06,2026-03-11,11th march / ecn-015-016-017 fab-haul-cata,family winner
SEL-ISRU-001_RevD.docx,sel-isru-001,Rev D,SUPERSEDED,B02,2026-03-11,11th march batch 1,
SEL-ISRU-001_RevD.docx,sel-isru-001,Rev D,DUPLICATE,B05,2026-03-11,11th march / pre-ecn014,same file uploaded again
SEL-ISRU-001_RevD.docx,sel-isru-001,Rev D,DUPLICATE,B10,2026-03-10,10th march,same file uploaded again
SEL-ISRU-001_RevC.docx,sel-isru-001,Rev C,SUPERSEDED,B11,2026-03-09,9th march,
SEL-ISRU-001_RevA.docx,sel-isru-001,Rev A,SUPERSEDED,B12,2026-03-09,main folder (9th march unless noted),
SEL-IZ-001_RevB.docx,sel-iz-001,Rev B,AUTHORITATIVE,B01,2026-04-12,april 12th folder,family winner
SEL-IZ-001_RevB.docx,sel-iz-001,Rev B,DUPLICATE,B22,2026-04-05,"downloads, early april",same file uploaded again
updated_SEL-IZ-001_RevA.docx,sel-iz-001,Rev A+,SUPERSEDED,B06,2026-03-11,11th march / ecn-015-016-017 fab-haul-cata,
SEL-IZ-001_RevA.docx,sel-iz-001,Rev A,SUPERSEDED,B02,2026-03-11,11th march batch 1,
SEL-IZ-001_RevA.docx,sel-iz-001,Rev A,DUPLICATE,B05,2026-03-11,11th march / pre-ecn014,same file uploaded again
SEL-MOLEI-MkII-001_RevA.docx,sel-molei-mkii-001,Rev A,AUTHORITATIVE,B01,2026-04-12,april 12th folder,family winner
SEL-NAV-001_MOLEI_Navigation_RevA.docx,sel-nav-001,Rev A,AUTHORITATIVE,B10,2026-03-10,10th march,family winner
SEL-PIPE-001_RevA.docx,sel-pipe-001,Rev A,AUTHORITATIVE,B02,2026-03-11,11th march batch 1,family winner
SEL-PIPE-001_RevA.docx,sel-pipe-001,Rev A,DUPLICATE,B06,2026-03-11,11th march / ecn-015-016-017 fab-haul-cata,same file uploaded again
SEL-POWER-001_RevB.docx,sel-power-001,Rev B,AUTHORITATIVE,B01,2026-04-12,april 12th folder,family winner
updated_SEL-POWER-001_RevA.docx,sel-power-001,Rev A+,SUPERSEDED,B06,2026-03-11,11th march / ecn-015-016-017 fab-haul-cata,
SEL-POWER-001_RevA.docx,sel-power-001,Rev A,SUPERSEDED,B02,2026-03-11,11th march batch 1,
SEL-POWER-001_RevA.docx,sel-power-001,Rev A,DUPLICATE,B05,2026-03-11,11th march / pre-ecn014,same file uploaded again
SEL-PROBE-MkII-001_RevA.docx,sel-probe-mkii-001,Rev A,AUTHORITATIVE,B01,2026-04-12,april 12th folder,family winner
SEL-PROBE-MkIII-001_RevA.docx,sel-probe-mkiii-001,Rev A,AUTHORITATIVE,B01,2026-04-12,april 12th folder,family winner
